state,year,area_km
BAHIA,2002.0,2415.154819795112
BAHIA,2004.0,4072.2333708629208
BAHIA,2006.0,2472.303155289478
BAHIA,2008.0,2949.1907729925397
BAHIA,2010.0,1782.0083911015251
BAHIA,2012.0,2564.5128103243114
BAHIA,2013.0,1048.5755855238267
BAHIA,2014.0,860.4964517452552
BAHIA,2015.0,1081.1339756796172
BAHIA,2016.0,648.9330961378253
BAHIA,2017.0,658.9084081911227
BAHIA,2018.0,598.0079590946915
BAHIA,2019.0,714.7543775845169
BAHIA,2020.0,768.8174162173405
BAHIA,2021.0,925.1075797150554
BAHIA,2022.0,1427.8632811699229
BAHIA,2023.0,1971.7126405177237
DISTRITO FEDERAL,2002.0,25.562307625942516
DISTRITO FEDERAL,2004.0,164.1528139604508
DISTRITO FEDERAL,2006.0,54.787141035589954
DISTRITO FEDERAL,2008.0,20.97422117220588
DISTRITO FEDERAL,2010.0,24.7703500800555
DISTRITO FEDERAL,2012.0,12.59702137082987
DISTRITO FEDERAL,2013.0,11.146430771379974
DISTRITO FEDERAL,2014.0,20.299489112974776
DISTRITO FEDERAL,2015.0,5.352528073843812
DISTRITO FEDERAL,2016.0,2.5603227794509826
DISTRITO FEDERAL,2017.0,5.530318564106669
DISTRITO FEDERAL,2018.0,8.184094005274714
DISTRITO FEDERAL,2019.0,2.65986838743083
DISTRITO FEDERAL,2020.0,4.7787321296906144
DISTRITO FEDERAL,2021.0,4.545442908877152
DISTRITO FEDERAL,2022.0,5.362902431893579
DISTRITO FEDERAL,2023.0,8.393610589087409
GOIÁS,2002.0,13339.586737288533
GOIÁS,2004.0,12414.896880543743
GOIÁS,2006.0,4957.951573059966
GOIÁS,2008.0,3037.766428459454
GOIÁS,2010.0,2942.702119835749
GOIÁS,2012.0,1980.0172897359935
GOIÁS,2013.0,1530.8746657148665
GOIÁS,2014.0,1201.8020109344986
GOIÁS,2015.0,1235.258874933476
GOIÁS,2016.0,671.6597701106576
GOIÁS,2017.0,862.9272437136325
GOIÁS,2018.0,742.2640268586753
GOIÁS,2019.0,668.217969702123
GOIÁS,2020.0,733.5355910122618
GOIÁS,2021.0,920.4549231726776
GOIÁS,2022.0,984.8532857694881
GOIÁS,2023.0,804.4257190013906
MARANHÃO,2002.0,4669.892456827656
MARANHÃO,2004.0,5807.995786572342
MARANHÃO,2006.0,4841.213606846398
MARANHÃO,2007.0,36.72710633175067
MARANHÃO,2008.0,5921.514919087853
MARANHÃO,2010.0,3467.846656805589
MARANHÃO,2012.0,2879.514928286112
MARANHÃO,2013.0,1703.493210551651
MARANHÃO,2014.0,1884.0270224677504
MARANHÃO,2015.0,1672.6520164016595
